MISSION ELAPSED TIME (min),dist
141.094466,61402.41591
142.094466,61804.60595
143.094466,62202.07517
144.094466,62594.96965
145.094466,62983.4287
146.094466,63367.58523
147.094466,63747.56604
148.094466,64123.49221
149.094466,64495.47933
150.094466,64863.63786
151.094466,65228.07337
152.094466,65588.88679
153.094466,65946.17474
154.094466,66300.02965
155.094466,66650.54008
156.094466,66997.79088
157.094466,67341.8634
158.094466,67682.83566
159.094466,68020.78255
160.094466,68355.77599
161.094466,68687.88507
162.094466,69017.17618
163.094466,69343.71319
164.094466,69667.55755
165.094466,69988.7684
166.094466,70307.40274
167.094466,70623.51546
168.094466,70937.15948
169.094466,71248.38584
170.094466,71557.24381
171.094466,71863.78092
172.094466,72168.04311
173.094466,72470.07476
174.094466,72769.91874
175.094466,73067.61654
176.094466,73363.20827
177.094466,73656.7328
178.094466,73948.22769
179.094466,74237.72939
180.094466,74525.27317
181.094466,74810.89323
182.094466,75094.62275
183.094466,75376.49389
184.094466,75656.53787
185.094466,75934.78499
186.094466,76211.26468
187.094466,76486.00552
188.094466,76759.03526
189.094466,77030.3809
190.094466,77300.0687
191.094466,77568.12416
192.094466,77834.57212
193.094466,78099.43672
194.094466,78362.74151
195.094466,78624.50938
196.094466,78769.13562
196.649466,79028.5777
197.649466,79286.53887
198.649466,79543.04001
199.649466,79798.10146
200.649466,80051.74307
201.649466,80303.98418
202.649466,80554.8437
203.649466,80804.34003
204.649466,81052.49117
205.649466,81299.31469
206.649466,81544.82773
207.649466,81789.04704
208.649466,82031.98898
209.649466,82273.66957
210.649466,82514.10442
211.649466,82753.30881
212.649466,82991.2977
213.649466,83228.08571
214.649466,83463.68711
215.649466,83698.11593
216.649466,83931.38581
217.649466,84163.51019
218.649466,84394.50218
219.649466,84624.37462
220.649466,84853.14008
221.649466,85080.8109
222.649466,85307.39915
223.649466,85532.91664
224.649466,85757.37499
225.649466,85980.78554
226.649466,86203.15945
227.649466,86424.50763
228.649466,86644.84079
229.649466,86864.16944
230.649466,87082.5039
231.649466,87299.85426
232.649466,87516.23046
233.649466,87731.64224
234.649466,87946.09913
235.649466,88159.61056
236.649466,88372.18571
237.649466,88583.83365
238.649466,88794.56325
239.649466,89004.38325
240.649466,89213.30222
241.649466,89421.32858
242.649466,89628.47064
243.649466,89834.7365
244.649466,90040.13417
245.649466,90244.67152
246.649466,90448.35629
247.649466,90651.19605
248.649466,90853.1983
249.649466,91054.37038
250.649466,91254.71953
251.649466,91454.25285
252.649466,91652.97736
253.649466,91850.89992
254.649466,92048.02732
255.649466,92244.36623
256.649466,92439.92322
257.649466,92634.70475
258.649466,92828.71718
259.649466,93021.96677
260.649466,93214.45969
261.649466,93406.20202
262.649466,93597.19975
263.649466,93787.45876
264.649466,93976.98486
265.649466,94165.78377
266.649466,94353.86114
267.649466,94541.2225
268.649466,94727.87334
269.649466,94913.81905
270.649466,95099.06495
271.649466,95283.61626
272.649466,95467.47817
273.649466,95650.65578
274.649466,95833.15409
275.649466,96014.97806
276.649466,96196.13259
277.649466,96376.62249
278.649466,96556.4525
279.649466,96735.62732
280.649466,96914.15157
281.649466,97092.02982
282.649466,97269.26657
283.649466,97442.98711
284.6427943,97617.15986
285.6427943,97790.70272
286.6427943,97963.61997
287.6427943,98135.91581
288.6427943,98307.59439
289.6427943,98478.65981
290.6427943,98649.11614
291.6427943,98818.96736
292.6427943,98988.21742
293.6427943,99156.87022
294.6427943,99324.92963
295.6427943,99492.39942
296.6427943,99659.28338
297.6427943,99825.5852
298.6427943,99991.30855
299.6427943,100156.4571
300.6427943,100321.0343
301.6427943,100485.0438
302.6427943,100648.4891
303.6427943,100811.3735
304.6427943,100973.7007
305.6427943,101135.4738
306.6427943,101296.6962
307.6427943,101457.3713
308.6427943,101617.5022
309.6427943,101777.0923
310.6427943,101936.1446
311.6427943,102094.6624
312.6427943,102252.6487
313.6427943,102410.1066
314.6427943,102567.0392
315.6427943,102723.4495
316.6427943,102879.3404
317.6427943,103034.715
318.6427943,103189.576
319.6427943,103343.9264
320.6427943,103497.769
321.6427943,103651.1067
322.6427943,103803.9423
323.6427943,103956.2784
324.6427943,104108.1179
325.6427943,104259.4634
326.6427943,104410.3176
327.6427943,104560.6831
328.6427943,104710.5627
